2500081198275342;doge_rur;sell;19,69381588;0,34153001;1535885333599;1535885378521;1;19,69381588;
2500081198277944;doge_rur;sell;19,69381588;0,34624415;1535885493760;1535885553538;1;19,69381588;
2500081198280016;doge_rur;sell;19,69381588;0,34970659;1535885623852;0;0;0,00000000;
1500081198282540;doge_rur;buy;39,38763176;0,34070002;1535885789037;1535885873859;1;39,38763176;

2500081198283833;doge_rur;sell;19,62958709;0,34618175;1535885879080;1535885938896;1;19,62958709;
1500081198284709;doge_rur;buy;19,62958709;0,34479841;1535885944156;1535886034076;1;19,62958709;
2500081198285216;doge_rur;sell;19,62958709;0,34964357;1535885984115;0;0;0,00000000;

2500081198286024;doge_rur;sell;19,75536204;0,34070005;1535886039241;1535886079031;1;19,75536204;
2500081198292905;doge_rur;sell;19,75536204;0,34553777;1535886519963;1535886594673;1;19,75536204;
1500081198294370;doge_rur;buy;39,51072408;0,34174781;1535886609886;1535886664799;1;39,51072408;
2500081198295042;doge_rur;sell;19,75536204;0,34899315;1535886649996;0;0;0,00000000;

2500081198300549;doge_rur;sell;19,68883573;0,34429891;1535887015275;1535887075198;1;19,68883573;
2500081198302020;doge_rur;sell;19,68883573;0,34774190;1535887120371;1535887165149;1;19,68883573;
2500081198303564;doge_rur;sell;19,68883573;0,35121932;1535887220570;0;0;0,00000000;
1500081198308818;doge_rur;buy;39,37767146;0,34454288;1535887550688;1535887645564;1;39,37767146;

2500081198316365;doge_rur;sell;19,85764974;0,32670533;1535888046864;1535888077205;1;19,85764974;










2500081198328866;doge_rur;sell;19,90090208;0,32261503;1535888767642;1535888842413;1;19,90090208;
2500081198331642;doge_rur;sell;19,90090208;0,32621551;1535888942623;1535889202494;1;19,90090208;
2500081198336433;doge_rur;sell;19,90090208;0,32999999;1535889257841;1535889345916;1;19,90090208;
1500081198337993;doge_rur;buy;59,70270624;0,32497304;1535889357783;1535889432576;1;59,70270624;
2500081198338904;doge_rur;sell;19,90090208;0,33329999;1535889417804;0;0;0,00000000;

2500081198342754;doge_rur;sell;19,79950433;0,32799998;1535889657874;1535889692634;1;19,79950433;
1500081198343472;doge_rur;buy;19,79950433;0,32668929;1535889697868;1535889772675;1;19,79950433;
2500081198344420;doge_rur;sell;19,79950433;0,33127998;1535889757848;0;0;0,00000000;

2500081198350447;doge_rur;sell;19,97415151;0,31013845;1535890132954;1535890152905;1;19,97415151;
2500081198351491;doge_rur;sell;19,97415151;0,31340398;1535890203052;1535890232822;1;19,97415151;
2500081198353301;doge_rur;sell;19,97415151;0,32190655;1535890313168;1535890407970;1;19,97415151;
1500081198356159;doge_rur;buy;59,92245453;0,31005272;1535890492788;1535890632591;1;59,92245453;
2500081198356675;doge_rur;sell;19,97415151;0,32512562;1535890527747;0;0;0,00000000;

2500081198370812;doge_rur;sell;20,03113114;0,31052719;1535891440130;1535891454978;1;20,03113114;
1500081198372731;doge_rur;buy;20,03113114;0,30924412;1535891569177;1535891650264;1;20,03113114;
2500081198373850;doge_rur;sell;20,03113114;0,31363246;1535891635461;0;0;0,00000000;

2500081198377297;doge_rur;sell;20,06907042;0,30816592;1535891816158;1535891845958;1;20,06907042;

2500081198380612;doge_rur;sell;20,15450657;0,30435057;1535892031366;1535892089637;1;20,15450657;
2500081198382509;doge_rur;sell;20,15450657;0,31109999;1535892150158;1535892294427;1;20,15450657;
2500081198385852;doge_rur;sell;20,15450657;0,31421099;1535892344675;0;0;0,00000000;
1500081198387823;doge_rur;buy;40,30901314;0,30366320;1535892464737;1535892539515;1;40,30901314;

2500081198390382;doge_rur;sell;20,01794980;0,30649914;1535892614794;1535892690422;1;20,01794980;
2500081198392515;doge_rur;sell;20,01794980;0,31099999;1535892735793;1535892780464;1;20,01794980;
1500081198392779;doge_rur;buy;20,01794980;0,30313441;1535892750655;1535892846217;1;20,01794980;
2500081198394322;doge_rur;sell;20,01794980;0,31410999;1535892840015;0;0;0,00000000;
1500081198394476;doge_rur;buy;20,01794980;0,31189841;1535892850012;1535892899804;1;20,01794980;

2500081198403955;doge_rur;sell;19,97625619;0,30934999;1535893481703;1535893521521;1;19,97625619;
1500081198404613;doge_rur;buy;19,97625619;0,30811383;1535893526725;1535893581611;1;19,97625619;
2500081198405328;doge_rur;sell;19,97625619;0,31244349;1535893566763;0;0;0,00000000;

2500081198406658;doge_rur;sell;19,93756718;0,31066502;1535893645796;1535893710645;1;19,93756718;
2500081198409594;doge_rur;sell;19,93756718;0,31380500;1535893834317;1535893914255;1;19,93756718;
2500081198411827;doge_rur;sell;19,93756718;0,31694305;1535893994688;1535894039471;1;19,93756718;
1500081198415321;doge_rur;buy;59,81270154;0,31255039;1535894199982;1535894715577;1;59,81270154;
2500081198423343;doge_rur;sell;19,93756718;0,32354403;1535894700827;0;0;0,00000000;

2500081198423681;doge_rur;sell;19,60436492;0,32044820;1535894721874;1535894777400;1;19,60436492;
1500081198424595;doge_rur;buy;19,60436492;0,31916769;1535894782916;1535894842408;1;19,60436492;
2500081198425303;doge_rur;sell;19,60436492;0,32365268;1535894829011;0;0;0,00000000;

